entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,layer
2026-04-10 10:45:00+00:00,2026-04-10 14:15:00+00:00,LONG,4757.58,4743.38,4785.98,131.25,T2,True,MTF
2026-04-16 12:30:00+00:00,2026-04-16 13:45:00+00:00,LONG,4819.01,4809.88,4809.88,-75.0,SL,False,MTF
2026-04-20 11:00:00+00:00,2026-04-20 11:45:00+00:00,SHORT,4790.78,4797.32,4797.32,-75.0,SL,False,MTF
2026-04-20 14:10:00+00:00,2026-04-20 14:50:00+00:00,LONG,4816.11,4802.4,4802.4,-75.0,SL,False,MTF
2026-04-21 09:55:00+00:00,2026-04-21 11:40:00+00:00,SHORT,4783.53,4790.73,4790.73,-75.0,SL,False,MTF
2026-04-21 12:35:00+00:00,2026-04-21 13:30:00+00:00,SHORT,4780.05,4790.73,4780.05,56.25,BE,True,MTF
2026-04-21 13:55:00+00:00,2026-04-21 14:40:00+00:00,SHORT,4778.9,4790.73,4755.24,131.25,T2,True,MTF
2026-05-04 09:40:00+00:00,2026-05-04 10:00:00+00:00,SHORT,4580.9,4587.82,4567.06,131.25,T2,True,MTF
2026-05-12 12:55:00+00:00,2026-05-12 13:00:00+00:00,SHORT,4705.5,4706.0,4704.5,131.25,T2,True,MTF
2026-05-12 13:45:00+00:00,2026-05-12 14:00:00+00:00,SHORT,4692.22,4706.0,4692.22,0.0,BE,False,MTF
2026-05-14 11:55:00+00:00,2026-05-14 12:20:00+00:00,SHORT,4693.93,4706.34,4706.34,-75.0,SL,False,MTF
2026-05-14 12:45:00+00:00,2026-05-14 13:15:00+00:00,LONG,4702.46,4694.03,4694.03,-75.0,SL,False,MTF
2026-05-14 14:30:00+00:00,2026-05-14 14:55:00+00:00,SHORT,4688.0,4694.85,4688.0,0.0,BE,False,MTF
