entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2025-11-11 13:10:00+00:00,LONG,4139.82,4137.57,2.25,2,4.01,False,BE,True,56.25
2025-11-18 13:10:00+00:00,LONG,4042.56,4038.31,4.25,5,26.73,True,T2,True,131.25
2025-11-18 13:20:00+00:00,LONG,4048.86,4038.31,10.55,5,24.68,False,T2,True,131.25
2025-11-20 15:30:00+00:00,SHORT,4079.23,4098.27,19.04,2,8.29,True,BE,True,56.25
2025-11-20 16:10:00+00:00,SHORT,4073.83,4089.3,15.47,2,24.81,True,BE,True,56.25
2025-12-01 13:50:00+00:00,SHORT,4252.77,4255.72,2.95,2,1.29,True,T2,True,131.25
2025-12-01 13:55:00+00:00,SHORT,4247.18,4255.72,8.54,2,1.23,False,T2,True,131.25
2025-12-01 16:30:00+00:00,SHORT,4231.12,4244.89,13.77,2,10.81,True,T2,True,131.25
2025-12-01 16:45:00+00:00,SHORT,4234.66,4244.89,10.23,3,9.58,False,T2,True,131.25
2025-12-01 17:45:00+00:00,SHORT,4234.61,4244.89,10.28,4,1.71,False,T2,True,131.25
2025-12-03 15:50:00+00:00,SHORT,4220.95,4239.49,18.54,2,0.28,True,T2,True,131.25
2025-12-08 14:25:00+00:00,SHORT,4208.59,4211.38,2.79,2,8.14,True,T2,True,131.25
2025-12-08 14:30:00+00:00,SHORT,4206.56,4211.38,4.82,2,7.82,False,T2,True,131.25
2025-12-08 14:40:00+00:00,SHORT,4198.1,4211.38,13.28,2,7.22,False,BE,True,56.25
2025-12-08 14:55:00+00:00,SHORT,4196.42,4211.38,14.96,3,6.4,False,BE,True,56.25
2025-12-09 13:25:00+00:00,SHORT,4201.85,4203.91,2.06,4,0.0,True,T2,True,131.25
2025-12-10 14:55:00+00:00,SHORT,4192.31,4201.66,9.35,2,3.64,True,SL,False,-75.0
2025-12-15 13:20:00+00:00,SHORT,4337.59,4347.06,9.47,8,9.08,True,T2,True,131.25
2025-12-15 13:40:00+00:00,SHORT,4338.38,4347.06,8.68,8,7.74,False,T2,True,131.25
2025-12-18 15:20:00+00:00,LONG,4331.92,4311.23,20.69,2,7.7,True,T2,True,131.25
2025-12-19 13:05:00+00:00,LONG,4330.75,4311.23,19.52,8,1.19,False,T2,True,131.25
2025-12-19 13:15:00+00:00,LONG,4332.48,4311.23,21.25,9,1.1,False,T2,True,131.25
2025-12-19 13:25:00+00:00,LONG,4334.68,4311.23,23.45,10,1.01,False,T2,True,131.25
2025-12-19 13:45:00+00:00,LONG,4331.21,4311.23,19.98,11,0.86,False,T2,True,131.25
2025-12-19 14:25:00+00:00,LONG,4327.6,4311.23,16.37,11,4.09,False,T2,True,131.25
2025-12-19 14:30:00+00:00,LONG,4332.45,4311.23,21.22,11,3.93,False,T2,True,131.25
2025-12-19 16:55:00+00:00,LONG,4349.71,4338.91,10.8,3,8.31,True,SL,False,-75.0
2025-12-22 14:40:00+00:00,LONG,4422.77,4413.35,9.42,2,1.92,True,SL,False,-75.0
2025-12-22 14:45:00+00:00,LONG,4426.34,4413.35,12.99,2,1.84,False,SL,False,-75.0
